product,subproduct,parameter,AEAZ,ARCB,AUMN,BDDU,BIBU,CADO,CAHA,CAKE,CALE,CASH,CHTS,CLST,CLTA,ETAD,ETBI,IDBD,ILHA,ILNZ,INDH,INJA,INKA,KRSE,KRUL,MXMC,NGIL,PHMO,PRFJ,SGSU,TWKA,TWTA,USBO,USMC,USNO,USPA,VNHN,ZAJB,ZAPR,TOTAL_rows,n_sites
FilterBased,ChemSpecPM25,Equivalent BC PM2.5,77.0,43.0,0.0,65.0,0.0,69.0,120.0,18.0,31.0,67.0,187.0,0.0,0.0,0.0,0.0,101.0,41.0,145.0,0.0,0.0,40.0,46.0,22.0,23.0,55.0,12.0,14.0,50.0,6.0,54.0,11.0,19.0,0.0,64.0,21.0,5.0,75.0,1481.0,28
FilterBased,ChemSpecPM25,Filter PM2.5 mass,151.0,86.0,63.0,152.0,37.0,128.0,248.0,36.0,31.0,146.0,537.0,191.0,94.0,246.0,55.0,189.0,185.0,343.0,136.0,61.0,65.0,90.0,132.0,59.0,94.0,24.0,55.0,87.0,174.0,281.0,22.0,19.0,33.0,276.0,25.0,212.0,280.0,5043.0,37
FilterBased,ChemSpecPM25,Iron PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4023.0,37
FilterBased,ChemSpecPM25,Lead PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4023.0,37
FilterBased,ChemSpecPM25,Lithium PM2.5,0.0,43.0,0.0,51.0,0.0,58.0,21.0,18.0,8.0,23.0,137.0,0.0,0.0,0.0,0.0,62.0,0.0,51.0,0.0,0.0,25.0,0.0,0.0,0.0,15.0,12.0,0.0,31.0,0.0,0.0,11.0,19.0,0.0,0.0,10.0,0.0,5.0,600.0,18
FilterBased,ChemSpecPM25,Magnesium Ion PM2.5,158.0,43.0,55.0,114.0,37.0,70.0,173.0,18.0,13.0,99.0,389.0,226.0,99.0,261.0,19.0,108.0,199.0,303.0,112.0,72.0,37.0,70.0,131.0,46.0,60.0,12.0,55.0,50.0,168.0,269.0,11.0,0.0,34.0,293.0,22.0,216.0,275.0,4317.0,36
FilterBased,ChemSpecPM25,Magnesium PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4023.0,37
FilterBased,ChemSpecPM25,Manganese PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4023.0,37
FilterBased,ChemSpecPM25,Nickel PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,10.0,19.0,23.0,256.0,22.0,210.0,269.0,4022.0,37
FilterBased,ChemSpecPM25,Nitrate Ion PM2.5,169.0,43.0,79.0,105.0,37.0,70.0,171.0,18.0,13.0,102.0,417.0,299.0,124.0,279.0,60.0,110.0,199.0,293.0,214.0,85.0,40.0,71.0,160.0,62.0,52.0,12.0,50.0,50.0,186.0,289.0,11.0,0.0,30.0,316.0,15.0,233.0,287.0,4751.0,36
FilterBased,ChemSpecPM25,Nitrite Ion PM2.5,79.0,43.0,46.0,89.0,14.0,64.0,136.0,18.0,10.0,81.0,297.0,114.0,75.0,214.0,25.0,79.0,141.0,211.0,77.0,31.0,32.0,58.0,99.0,41.0,41.0,12.0,31.0,42.0,114.0,196.0,11.0,0.0,25.0,254.0,9.0,156.0,199.0,3164.0,36
