site,n,median,p25,p75,network,ratio
MEAD1,1920,14.913380504344603,11.184576088904821,20.02922005388002,IMPROVE,Fabs_EC
HACR1,1326,15.202470830473576,8.125,27.32749550283406,IMPROVE,Fabs_EC
WRIG1,346,15.366584242779142,13.051979805009223,18.316698233507108,IMPROVE,Fabs_EC
SAGU1,2513,15.483532344836634,12.445811774576981,18.79194630872483,IMPROVE,Fabs_EC
DEVA1,1121,15.57496360989811,11.320754716981131,20.555555555555557,IMPROVE,Fabs_EC
SYCA2,972,15.917883213560287,12.747286114410102,20.64007265363734,IMPROVE,Fabs_EC
DOUG1,1332,16.01514582950938,13.302824941704397,19.386173710078612,IMPROVE,Fabs_EC
SAWE1,2454,16.272109306239976,13.68643996500202,19.80512298448612,IMPROVE,Fabs_EC
ORPI1,2496,16.39627731632361,12.597140879434853,22.451707955909637,IMPROVE,Fabs_EC
RICR1,64,16.86489101464091,13.213996145088387,22.14224664224664,IMPROVE,Fabs_EC
VIIS1,2021,16.88888888888889,10.86350974930362,27.635941320293398,IMPROVE,Fabs_EC
NEYO1,682,1.3208392434526748,1.0125069416381154,1.7429329438585377,IMPROVE,OC_EC
RUBI1,103,2.0936828534593896,1.6485956514670974,2.620862556151282,IMPROVE,OC_EC
WASH1,1304,2.225515541792295,1.6314501918338462,2.969188406825567,IMPROVE,OC_EC
NOGA1,1009,2.4477258861760274,1.9962409282517057,3.1645124929551005,IMPROVE,OC_EC
BALT1,290,2.5035934329459506,1.984039169806695,2.99609375,IMPROVE,OC_EC
CHIC1,213,2.5308072763852794,1.9542602942853884,3.4548140043763675,IMPROVE,OC_EC
DETR1,192,2.5865458519588422,1.910141457450978,3.634698594399335,IMPROVE,OC_EC
BYIS1,515,2.6469788428062944,1.9411361557653324,3.5408220456551542,IMPROVE,OC_EC
BIRM1,2294,2.8294277531525136,2.1958527999854347,3.6770208514009384,IMPROVE,OC_EC
PUSO1,2453,2.9446611409068746,2.3943941511229925,3.7475271411338964,IMPROVE,OC_EC
BRET1,236,2.9950882270974555,2.313369120014483,3.8440354440566478,IMPROVE,OC_EC
PHOE1,2518,3.018899143122086,2.3889837118519077,4.083003977899226,IMPROVE,OC_EC
PHOE5,2276,3.03456317233526,2.414571655056452,4.067851191764607,IMPROVE,OC_EC
ZION1,182,3.0462917933130704,2.3483652772338974,4.1718751866115795,IMPROVE,OC_EC
PITT1,806,3.0701468332713313,2.4617800813884934,3.8366187684061934,IMPROVE,OC_EC
OLTO1,382,3.1100640640536312,2.3755866351460906,4.05633877503922,IMPROVE,OC_EC
HOUS1,155,3.1775256222547585,2.4503659584470032,4.191809043804158,IMPROVE,OC_EC
SIME1,1779,3.251551043429216,1.4946158984249625,6.4712632074836804,IMPROVE,OC_EC
VIIS1,1963,3.263615295480881,1.8551018465638682,6.275249979565704,IMPROVE,OC_EC
FOCO2,97,3.275345723597287,2.7186130811662728,5.852411863023283,IMPROVE,OC_EC
ATLA1,828,3.2836335094685785,2.509809581311422,4.156077864607433,IMPROVE,OC_EC
MKGO1,944,3.3572240305267047,2.778065773444035,3.9902684187054014,IMPROVE,OC_EC
AREN1,939,3.433726067746686,2.7296760519727115,4.335564573738847,IMPROVE,OC_EC
LIVO1,926,3.4592931970972747,2.802364044642582,4.229265873854293,IMPROVE,OC_EC
