Method_Pair,Prefix,Dominance_Method,Source,Threshold,Low_n,Low_R2,Low_Slope,High_n,High_R2,High_Slope,Residual_Corr
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Charcoal Burning,0.7,31,0.5606159430214689,0.9391483817661489,7,0.8998084110941688,1.9433890220781453,-0.14099081398043836
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Wood Burning,0.3,1,,,10,0.48844122880021285,1.3754759911719003,0.03516167623865705
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Wood Burning,0.3,2,,,21,0.6151485792403405,0.9666356276641775,0.284997565067295
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Wood Burning,0.4,9,0.4378099771130554,1.3226748780403588,2,,,0.03516167623865705
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Wood Burning,0.4,7,0.44012696603602,0.9401934570938731,16,0.6830443207122923,1.0840425294129288,0.284997565067295
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Wood Burning,0.5,9,0.4378099771130554,1.3226748780403588,2,,,0.03516167623865705
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Wood Burning,0.5,16,0.5494449933099271,0.849295513228622,7,0.7827599972187778,1.4502122138311366,0.284997565067295
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Wood Burning,0.6,11,0.39597629830693726,1.109000853410869,0,,,0.03516167623865705
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Wood Burning,0.6,21,0.6316843576663316,1.0556460403100314,2,,,0.284997565067295
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Wood Burning,0.7,11,0.39597629830693726,1.109000853410869,0,,,0.03516167623865705
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Wood Burning,0.7,23,0.5936201218398814,1.0211370588964046,0,,,0.284997565067295
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Fossil Fuel,0.3,0,,,23,0.6893617993883092,1.1538329653110144,-0.049658869829687896
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Fossil Fuel,0.3,1,,,12,0.5059009482255509,1.2766100261878655,-0.13860433080073314
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Fossil Fuel,0.4,5,0.6444639430956655,1.011710478460097,18,0.7316507733252309,1.2936047772042096,-0.049658869829687896
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Fossil Fuel,0.4,7,0.5833389616913287,1.5573030219620891,6,0.003842535821512277,0.06708427473663037,-0.13860433080073314
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Fossil Fuel,0.5,13,0.75890784889998,1.0804180983874323,10,0.6026432861042583,1.4058474653233124,-0.049658869829687896
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Fossil Fuel,0.5,9,0.4438090323639107,1.2855029806048164,4,0.12827493248015479,0.6533872344100954,-0.13860433080073314
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Fossil Fuel,0.6,18,0.6638040021766702,0.991717083928814,5,0.9450941562650435,2.045344991007721,-0.049658869829687896
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Fossil Fuel,0.6,11,0.4448438920766379,1.3138540394541638,2,,,-0.13860433080073314
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Fossil Fuel,0.7,21,0.6815619410518694,1.1330622829901857,2,,,-0.049658869829687896
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Fossil Fuel,0.7,12,0.3917453531404665,1.2042246172689473,1,,,-0.13860433080073314
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Polluted Marine,0.3,0,,,22,0.47690080555319986,0.6993684888420014,0.1595668028521848
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Polluted Marine,0.3,0,,,20,0.25575424103569805,0.6018566234681293,0.17052880820849373
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Polluted Marine,0.4,4,0.1364105872543131,0.47829380139064764,18,0.5039957017689892,0.7388443397303712,0.1595668028521848
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Polluted Marine,0.4,11,0.14497942773891134,0.5850702123299547,9,0.2462241353174712,0.5401622127446291,0.17052880820849373
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Polluted Marine,0.5,16,0.5791634323962639,0.7795173145724269,6,0.03069592725434762,0.1909505963497867,0.1595668028521848
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Polluted Marine,0.5,17,0.25141044228248216,0.6464749176126114,3,0.3043758780543613,-1.2194455053534476,0.17052880820849373
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Polluted Marine,0.6,21,0.5302865309263824,0.7519766929732532,1,,,0.1595668028521848
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Polluted Marine,0.6,20,0.25575424103569805,0.6018566234681293,0,,,0.17052880820849373
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Polluted Marine,0.7,22,0.47690080555319986,0.6993684888420014,0,,,0.1595668028521848
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Polluted Marine,0.7,20,0.25575424103569805,0.6018566234681293,0,,,0.17052880820849373
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Sea Salt,0.3,0,,,19,0.5424151369082174,1.2892266167847684,0.191503967345583
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Sea Salt,0.4,5,0.021187252417377473,0.4945506697737762,14,0.5750479507799375,1.2505410781547424,0.191503967345583
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Sea Salt,0.5,12,0.5992537878444569,1.0301364150057573,7,0.8861698636702677,2.6610462203498955,0.191503967345583
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Sea Salt,0.6,18,0.5394184166356455,1.2747126844332406,1,,,0.191503967345583
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Sea Salt,0.7,19,0.5424151369082174,1.2892266167847684,0,,,0.191503967345583
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Charcoal Burning,0.3,1,,,21,0.6734625744078467,2.931899239242551,0.32045290463257875
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Charcoal Burning,0.3,0,,,38,0.5490528377339721,2.4579071648724655,0.1345308394718843
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Charcoal Burning,0.4,7,0.9211491833918394,3.0160363861581354,15,0.5483937144867916,3.1978240102025084,0.32045290463257875
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Charcoal Burning,0.4,6,0.9569381631045482,5.212152091455654,32,0.5431488003832152,2.3777810444410545,0.1345308394718843
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Charcoal Burning,0.5,11,0.8341574592120752,2.4266470254955794,11,0.6346484453999086,3.738074050106432,0.32045290463257875
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Charcoal Burning,0.5,17,0.4825523528617453,3.0992148193614244,21,0.629518078065568,2.7792724099496398,0.1345308394718843
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Charcoal Burning,0.6,19,0.6893766229508216,2.80901442109052,3,0.10416791565474977,1.2522543614982298,0.32045290463257875
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Charcoal Burning,0.6,25,0.5184328785914276,2.2354572728119124,13,0.5891622228372851,3.445876491176732,0.1345308394718843
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Charcoal Burning,0.7,22,0.6774290419279043,2.948231435347426,0,,,0.32045290463257875
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Charcoal Burning,0.7,31,0.49262204734862475,2.138970589532546,7,0.6753872960001657,3.5757777826416848,0.1345308394718843
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Wood Burning,0.3,1,,,10,0.22076943611562522,1.715636024897544,-0.006408887738304594
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Wood Burning,0.3,2,,,21,0.503533120354785,2.129299454126574,0.34104646079613155
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Wood Burning,0.4,9,0.23335374765445366,2.0533275771616966,2,,,-0.006408887738304594
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Wood Burning,0.4,7,0.18796836641766723,1.8608559717397446,16,0.5498353285818836,2.092160637029944,0.34104646079613155
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Wood Burning,0.5,9,0.23335374765445366,2.0533275771616966,2,,,-0.006408887738304594
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Wood Burning,0.5,16,0.4287122098330863,1.8339490626831632,7,0.7200576800793026,2.89816687581894,0.34104646079613155
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Wood Burning,0.6,11,0.21108559087141246,1.6341796651034242,0,,,-0.006408887738304594
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Wood Burning,0.6,21,0.4948308112454881,2.246052273796599,2,,,0.34104646079613155
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Wood Burning,0.7,11,0.21108559087141246,1.6341796651034242,0,,,-0.006408887738304594
