n_components,rmse_mean,rmse_sd,rmse_se,n_folds,cv_scheme,is_local_minimum,within_global_one_se,selected_first_major_minimum,global_minimum_components,selection_threshold,model,df1
29,6.857129113768688,2.7763909631957393,1.241639785164358,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
30,6.935276749447719,2.6417125574042863,1.1814097710741598,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
31,7.03804331653901,2.5546683590207264,1.1424824221476364,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
32,7.163649026056397,2.5225647148976664,1.1281252360307117,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
33,7.2875645302331815,2.6495889761136384,1.1849322126048323,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
34,7.301990017547436,2.743591978801949,1.226971633424864,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
35,7.257972460251155,2.5593787336575127,1.1445889657251054,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
36,7.476768848271573,2.702424103845898,1.2085608000466757,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
37,7.577084798849988,2.7586487246549467,1.2337052148743122,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
38,7.94224508508552,3.0187257127800833,1.3500151798405544,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
39,8.254379092266113,3.3711474337710086,1.507622964817189,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
40,9.009635405934626,4.376001243840688,1.957007250170282,5,group-held-out K-fold,False,False,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
