# File Updated: 2025-07-29
# Data version 3.0
# Site: Addis Ababa, Ethiopia
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28803,Potassium PM2.5,250.13,Nanograms per cubic meter (ng/m3),0.0424,0.0424,0.0258,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28805,Calcium PM2.5,315.43,Nanograms per cubic meter (ng/m3),0.0155,0.0321,0.0195,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28904,Titanium PM2.5,22.58,Nanograms per cubic meter (ng/m3),0.0028,0.0032,0.002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28905,Vanadium PM2.5,0.89,Nanograms per cubic meter (ng/m3),0.0004,0.0004,0.0002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28908,Iron PM2.5,248.74,Nanograms per cubic meter (ng/m3),0.0109,0.016,0.0098,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28912,Zinc PM2.5,5.06,Nanograms per cubic meter (ng/m3),0.0076,0.01,0.0061,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28919,Cerium PM2.5,1.79,Nanograms per cubic meter (ng/m3),0.0011,0.0011,0.0007,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28920,Lead PM2.5,1.44,Nanograms per cubic meter (ng/m3),0.0026,0.0029,0.0018,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28913,Arsenic PM2.5,0.84,Nanograms per cubic meter (ng/m3),0.0008,0.0016,0.001,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28909,Cobalt PM2.5,0.4,Nanograms per cubic meter (ng/m3),0.0006,0.0007,0.0004,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
