MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
3990,73.7839,40.9582,-52.4608,87.1005,-97.8462,56.7363
3991,75.6536,41.5239,-102.2066,90.6125,-107.3125,58.3259
3992,52.0404,30.9704,-95.1054,60.7893,-78.3711,41.7402
3992,51.7799,30.8489,-108.0918,60.3848,-94.6449,42.0486
3993,75.1613,41.0704,-28.5083,87.4268,-84.8891,57.2005
3994,1.3205,3.3172,-121.2178,6.1499,-112.8048,6.3724
3995,24.5284,13.4604,-180.2466,31.2606,-118.1614,19.4042
4148,23.6261,15.2997,-62.0638,39.0049,47.7657,21.3115
4149,30.9249,12.5323,-73.2976,44.672,0.3721,19.9043
4150,20.4799,8.5042,-68.8258,36.8116,56.3512,14.0736
4151,29.808,10.3128,-37.9429,48.1235,74.2915,17.995
4152,34.3421,14.8927,-68.872,49.139,12.0239,23.4214
4153,13.9501,9.8962,-88.677,22.477,-26.5719,13.0266
4154,-3.0743,-0.1707,-130.7641,-1.1273,-89.1757,-0.0693
4155,33.0978,15.4518,-76.1941,46.8817,-59.1954,24.7028
4156,23.2893,17.6807,-96.0646,32.2284,-60.871,22.9856
4157,31.6045,16.4631,133.0565,46.5585,40.7957,22.8692
4158,43.1345,28.4208,-127.5987,51.3659,-83.5431,38.0016
4159,53.9877,35.9435,-136.1904,61.8171,-203.5621,52.721
4160,32.1447,21.3964,-86.9392,39.9631,-54.083,27.8159
4161,20.6268,17.3185,45.6063,31.5646,-20.6657,18.8358
4162,-5.5394,-1.17,-163.3331,-3.7575,-86.2544,-3.6974
4163,19.5362,13.7534,-116.8742,30.5695,-60.6049,19.6673
4460,49.1185,26.5358,-140.7056,66.3616,-150.4558,37.9093
4461,21.1258,13.9556,-94.553,28.3098,-75.5098,19.0886
4462,15.6724,10.5036,-143.3359,25.2876,-56.8183,13.3485
4460,46.3106,26.5304,-170.846,64.1791,-170.7702,37.118
4463,31.3022,16.3794,-123.8956,45.7956,-88.1008,24.7169
4464,25.3524,15.119,-174.3624,40.3045,-56.5649,21.9039
4465,13.8574,9.3707,-213.9419,24.9123,-164.05,14.75
4466,-3.7076,0.2012,-132.3063,-1.1287,-104.4974,0.7629
4467,15.617,10.3193,-234.3407,30.3175,-170.0353,16.6244
4468,30.1366,14.0424,-101.6448,45.7182,-79.5624,23.708
4469,30.5247,14.5795,-96.5713,45.7853,-67.0485,23.5128
4470,22.761,12.0235,-136.3452,36.2739,-64.1659,17.7597
4471,24.6197,13.4292,-268.9277,40.7685,-193.8357,19.0008
4472,15.6186,8.7878,-181.4511,25.9441,-122.322,13.2376
4473,26.9185,12.9224,-160.3056,43.1751,-41.0673,20.6801
4474,-2.5613,-0.0222,-138.9221,-1.1945,-84.9808,-1.2175
4475,14.0855,7.361,-121.4251,25.1384,-44.3124,11.6652
