# File Updated: 2025-07-29
# Data version 3.0
# Site: Pasadena, United States
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28204,OC PM2.5,0.12,Micrograms per cubic meter (ug/m3),,0.11764705882352941,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28205,OM PM2.5,2.06,Micrograms per cubic meter (ug/m3),,,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28101,Filter PM2.5 mass,8.78,Micrograms per cubic meter (ug/m3),,,,116,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28404,Nitrite Ion PM2.5,0.01,Micrograms per cubic meter (ug/m3),,0.30492762666666673,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28402,Nitrate Ion PM2.5,0.12,Micrograms per cubic meter (ug/m3),,1.201635928,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28401,Sulfate Ion PM2.5,1.44,Micrograms per cubic meter (ug/m3),,0.22562734933333334,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28801,Sodium Ion PM2.5,0.14,Micrograms per cubic meter (ug/m3),,0.48283590000000004,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28802,Ammonium Ion PM2.5,0.41,Micrograms per cubic meter (ug/m3),,0.3186,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28803,Potassium Ion PM2.5,0.04,Micrograms per cubic meter (ug/m3),,0.30047124000000003,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28804,Magnesium Ion PM2.5,0.02,Nanograms per cubic meter (ng/m3),,0.06117301333333333,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28805,Calcium Ion PM2.5,0.08,Micrograms per cubic meter (ug/m3),,1.8345081827999996,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28801,Sodium PM2.5,215.81,Nanograms per cubic meter (ng/m3),0.1638,0.1638,0.0996,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0301,2023,10,18,9.0,2023,10,19,9.0,24.0,28902,Aluminum PM2.5,80.83,Nanograms per cubic meter (ng/m3),0.019,0.019,0.0115,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
